breed,temperament,popularity,min_height,max_height,min_weight,max_weight,min_expectancy,max_expectancy,group,grooming_frequency_value,grooming_frequency_category,shedding_value,shedding_category,energy_level_value,energy_level_category,trainability_value,trainability_category,demeanor_value,demeanor_category,grooming_frequency_value_seidr,shedding_value_seidr,energy_level_value_seidr,trainability_value_seidr,demeanor_value_seidr,puntuacion_asistencia,url_imagen,caracter
Pembroke Welsh Corgi,"Affectionate, Smart, Alert",13,25.4,30.48,12.70058636,13.6077711,12.0,13.0,Herding Group,0.4,Weekly Brushing,0.8,Regularly,0.8,Energetic,0.6,Agreeable,1.0,Outgoing,2.0,4.0,4,3,5,4.0,iconografia/razas/pembroke_welsh_corgi.jpg,"Cariñoso, inteligente y alerta. El corgi de la reina: activo, leal y siempre de buen humor. Con su familia es muy afectuoso."
Perro de Presa Canario,"Confident, Calm, Strong-Willed",,55.88,66.04,38.10175908,49.895160700000005,9.0,11.0,Foundation Stock Service,0.2,Occasional Bath/Brush,0.6,Seasonal,0.4,Calm,0.6,,0.6,,1.0,3.0,2,3,3,3.2,iconografia/razas/perro_de_presa_canario.jpg,"Seguro, tranquilo y de carácter fuerte. Es un guardián poderoso y leal que con su familia es muy cariñoso. Necesita un dueño con experiencia."
Peruvian Inca Orchid,"Affectionate, Loyal, Noble",,24.765,65.405,3.855535145,24.947580350000003,12.0,14.0,Miscellaneous Class,0.2,Occasional Bath/Brush,0.8,Regularly,0.8,Energetic,0.6,Agreeable,0.4,Reserved with Strangers,1.0,4.0,4,3,2,2.8,iconografia/razas/peruvian_inca_orchid.jpg,"Cariñoso, leal y noble. Es uno de los perros sin pelo más antiguos del mundo. Con su familia es muy afectuoso aunque sensible al frío."
Petit Basset Griffon Vendéen,"Alert, Happy, Vivacious",156,33.02,38.1,11.33980925,18.1436948,12.0,14.0,Hound Group,0.4,Weekly Brushing,0.4,Occasional,0.8,Energetic,0.4,Independent,0.8,Friendly,2.0,2.0,4,2,4,3.2,iconografia/razas/petit_basset_griffon_vendeen.jpg,"Alerta, feliz y lleno de vida. Es un rastreador pequeño y activo que en casa es un compañero alegre y cariñoso. Necesita ejercicio regular."
Pharaoh Hound,"Friendly, Smart, Noble",172,53.34,63.5,20.41165665,24.947580350000003,12.0,14.0,Hound Group,0.4,Weekly Brushing,0.6,Seasonal,0.8,Energetic,0.4,Independent,0.4,Reserved with Strangers,2.0,3.0,4,2,2,2.4000000000000004,iconografia/razas/pharaoh_hound.jpg,"Amigable, inteligente y noble. Es el lebrel de Malta: elegante, activo y muy afectuoso. Con su familia es muy cariñoso."
Plott Hound,"Loyal, Alert, Intelligent",171,50.8,63.5,18.1436948,27.2155422,12.0,14.0,Hound Group,0.2,Occasional Bath/Brush,0.4,Occasional,0.8,Energetic,0.4,Independent,0.6,Alert/Responsive,1.0,2.0,4,2,3,2.8,iconografia/razas/plott_hound.jpg,"Leal, alerta e inteligente. Es el perro estatal de Carolina del Norte: un rastreador serio y valiente que en casa es un compañero tranquilo."
Pointer,"Loyal, Hardworking, Even-Tempered",114,58.42,71.12,20.41165665,34.01942775,12.0,17.0,Sporting Group,0.4,Weekly Brushing,0.4,Occasional,0.8,Energetic,0.6,Agreeable,0.6,Alert/Responsive,2.0,2.0,4,3,3,3.2,iconografia/razas/pointer.jpg,"Leal, trabajador y equilibrado. Es el señalador inglés por excelencia: activo, elegante y muy afectuoso con su familia."
Polish Lowland Sheepdog,"Confident, Clever, Lively",170,43.18,50.8,13.6077711,22.6796185,12.0,14.0,Herding Group,0.8,Daily Brushing,0.6,Seasonal,0.8,Energetic,0.2,May be Stubborn,0.2,Aloof/Wary,4.0,3.0,4,1,1,1.6,iconografia/razas/polish_lowland_sheepdog.jpg,"Seguro, inteligente y lleno de vida. Es un pastor polaco activo y equilibrado. Con su familia es muy cariñoso aunque puede ser testarudo."
Pomeranian,"Inquisitive, Bold, Lively",23,15.24,17.78,1.36077711,3.17514659,12.0,16.0,Toy Group,0.6,2-3 Times a Week Brushing,0.6,Seasonal,0.6,Regular Exercise,0.6,Agreeable,0.6,Alert/Responsive,3.0,3.0,3,3,3,3.4000000000000004,iconografia/razas/pomeranian.jpg,"Inquisitivo, audaz y lleno de vida. Es un spitz en miniatura con una personalidad enorme. Con su familia es muy cariñoso aunque algo territorial."
Poodle (Miniature),"Active, Proud, Very Smart",7,25.4,38.1,4.535923700000001,6.80388555,10.0,18.0,Non-Sporting Group,,,,,0.6,,0.6,,0.6,,,,3,3,3,3.4000000000000004,iconografia/razas/poodle_miniature.jpg,"Activo, orgulloso e increíblemente inteligente. El caniche miniatura tiene toda la inteligencia de su versión estándar en un tamaño más compacto."
Poodle (Standard),"Active, Proud, Very Smart",7,38.1,38.1,18.1436948,31.751465900000003,10.0,18.0,Non-Sporting Group,1.0,Specialty/Professional,0.2,Infrequent,0.6,Regular Exercise,1.0,Eager to Please,0.8,Friendly,5.0,1.0,3,5,4,4.6,iconografia/razas/poodle_standard.jpg,"Activo, orgulloso e increíblemente inteligente. Considerado el segundo perro más inteligente del mundo. Es elegante, equilibrado y muy cariñoso."
Poodle (Toy),"Agile, Intelligent, Self-Confident",7,25.4,25.4,1.81436948,2.72155422,10.0,18.0,Toy Group,1.0,Specialty/Professional,0.2,Infrequent,0.6,Regular Exercise,1.0,Eager to Please,0.8,Friendly,5.0,1.0,3,5,4,4.6,iconografia/razas/poodle_toy.jpg,"Ágil, inteligente y seguro de sí mismo. El caniche toy es el más pequeño pero tiene toda la personalidad de sus versiones más grandes."
Porcelaine,"Independent, Energetic, Powerful",,55.88,58.42,24.947580350000003,28.12272694,12.0,13.0,Foundation Stock Service,0.2,Occasional Bath/Brush,,,0.8,Energetic,0.6,,0.6,Alert/Responsive,1.0,,4,3,3,3.2,iconografia/razas/porcelaine.jpg,"Independiente, enérgico y poderoso. Es un sabueso francés elegante y activo. Con su familia es cariñoso aunque necesita mucho ejercicio."
Portuguese Podengo,"Independent, Alert, Intelligent",,40.64,71.12,15.875732950000002,29.937096420000003,10.0,12.0,Miscellaneous Class,0.4,Weekly Brushing,0.8,Regularly,0.8,Energetic,0.6,Agreeable,0.4,Reserved with Strangers,2.0,4.0,4,3,2,2.8,iconografia/razas/portuguese_podengo.jpg,"Independiente, alerta e inteligente. Es un lebrel primitivo portugués en tres tamaños. Con su familia es cariñoso aunque tiene instinto cazador marcado."
Portuguese Podengo Pequeno,"Playful, Charming, Lively",154,20.32,30.48,4.082331330000001,5.8967008100000005,12.0,15.0,Hound Group,0.4,Weekly Brushing,0.6,Seasonal,0.8,Energetic,0.6,Agreeable,0.8,Friendly,2.0,3.0,4,3,4,3.6000000000000005,iconografia/razas/portuguese_podengo_pequeno.jpg,"Juguetón, encantador y lleno de vida. Es la versión pequeña del Podengo: activa, curiosa y muy cariñosa con su familia."
Portuguese Pointer,"Affectionate, Smart, Energetic",,52.07,55.88,15.875732950000002,26.76194983,14.0,14.0,Foundation Stock Service,0.2,Occasional Bath/Brush,0.4,Occasional,0.8,Energetic,1.0,Eager to Please,0.8,Friendly,1.0,2.0,4,5,4,4.4,iconografia/razas/portuguese_pointer.jpg,"Cariñoso, inteligente y enérgico. Es un perro de caza portugués equilibrado y afectuoso. Con su familia es muy devoto."
Portuguese Sheepdog,"Intelligent, Devoted, Lively",,41.91,54.61,17.009713875,26.76194983,12.0,13.0,Foundation Stock Service,0.4,Weekly Brushing,0.4,Occasional,0.8,Energetic,0.6,,0.6,,2.0,2.0,4,3,3,3.2,iconografia/razas/portuguese_sheepdog.jpg,"Inteligente, devoto y lleno de vida. Es el pastor portugués por excelencia: activo, leal y muy cariñoso con su familia."
Portuguese Water Dog,"Affectionate, Adventurous, Athletic",50,43.18,58.42,15.875732950000002,27.2155422,11.0,13.0,Working Group,0.8,Daily Brushing,0.6,Seasonal,0.8,Energetic,0.8,Easy Training,0.6,Alert/Responsive,4.0,3.0,4,4,3,3.6000000000000005,iconografia/razas/portuguese_water_dog.jpg,"Cariñoso, aventurero y atlético. Le encanta el agua y el ejercicio. Con su familia es muy afectuoso y siempre está dispuesto a la aventura."
Pudelpointer,"Friendly, Smart, Willing to Please",,55.88,66.04,20.41165665,31.751465900000003,14.0,14.0,Foundation Stock Service,0.2,Occasional Bath/Brush,0.6,Seasonal,0.6,Regular Exercise,0.6,,0.6,,1.0,3.0,3,3,3,3.4000000000000004,iconografia/razas/pudelpointer.jpg,"Amigable, inteligente y dispuesto a complacer. Es un perro de caza versátil que en casa es un compañero equilibrado y cariñoso."
Pug,"Charming, Mischievous, Loving",28,25.4,33.02,6.35029318,8.164662660000001,13.0,15.0,Toy Group,0.4,Weekly Brushing,0.8,Regularly,0.6,Regular Exercise,0.6,Agreeable,0.8,Friendly,2.0,4.0,3,3,4,3.8,iconografia/razas/pug.jpg,"Encantador, travieso y muy cariñoso. Es el bufón del mundo canino: divertido, adorable y siempre dispuesto a hacer reír. Adora a su familia."
Puli,"Loyal, Smart, Home-Loving",160,40.64,43.18,11.33980925,15.875732950000002,10.0,15.0,Herding Group,1.0,Specialty/Professional,0.2,Infrequent,0.6,Regular Exercise,0.4,Independent,0.4,Reserved with Strangers,5.0,1.0,3,2,2,2.6,iconografia/razas/puli.jpg,"Leal, inteligente y muy hogareño. Su pelaje en rastas es inconfundible. Es activo, alerta y muy devoto con su familia."
Pumi,"Energetic, Lively, Ready to Work",151,38.1,46.99,9.97903214,13.15417873,12.0,13.0,Herding Group,0.2,Occasional Bath/Brush,0.2,Infrequent,0.8,Energetic,0.8,Easy Training,0.6,Alert/Responsive,1.0,1.0,4,4,3,3.6000000000000005,iconografia/razas/pumi.jpg,"Enérgico, lleno de vida y siempre dispuesto al trabajo. Es un pastor húngaro activo y expresivo que necesita ejercicio y estimulación constante."
Pyrenean Mastiff,"Gentle, Brave, Noble",,63.5,78.74,54.4310844,108.8621688,10.0,13.0,Foundation Stock Service,0.6,2-3 Times a Week Brushing,0.6,Seasonal,0.4,Calm,0.6,,0.6,,3.0,3.0,2,3,3,3.2,iconografia/razas/pyrenean_mastiff.jpg,"Gentil, valiente y noble. Es un gigante tranquilo que con su familia es muy cariñoso. Necesita espacio y ejercicio moderado."
Pyrenean Shepherd,"Affectionate, Active, Enthusiastic",181,38.1,53.34,6.80388555,13.6077711,0.0,0.0,Herding Group,0.4,Weekly Brushing,0.6,Seasonal,0.8,Energetic,0.6,Agreeable,0.4,Reserved with Strangers,2.0,3.0,4,3,2,2.8,iconografia/razas/pyrenean_shepherd.jpg,"Cariñoso, activo y entusiasta. Es el pastor más pequeño de Francia pero tiene una energía enorme. Con su familia es muy devoto."
Rafeiro do Alentejo,"Confident, Calm, Powerful",,63.5,73.66,34.926612490000004,59.874192840000006,12.0,14.0,Foundation Stock Service,0.4,Weekly Brushing,0.6,Seasonal,0.4,Calm,0.6,,0.6,,2.0,3.0,2,3,3,3.2,iconografia/razas/rafeiro_do_alentejo.jpg,"Seguro, tranquilo y poderoso. Es un guardián portugués serio y leal. Con su familia es cariñoso pero necesita un dueño con experiencia."
Rat Terrier,"Friendly, Inquisitive, Lovable",86,25.4,45.72,4.535923700000001,11.33980925,12.0,18.0,Terrier Group,0.4,Weekly Brushing,0.6,Seasonal,0.6,Regular Exercise,0.8,Easy Training,0.8,Friendly,2.0,3.0,3,4,4,4.2,iconografia/razas/rat_terrier.jpg,"Amigable, curioso y adorable. Es un terrier americano activo y versátil. Con su familia es muy cariñoso y siempre está dispuesto a jugar."
Redbone Coonhound,"Even-Tempered, Amiable, Eager to Please",142,53.34,68.58,20.41165665,31.751465900000003,12.0,15.0,Hound Group,0.4,Weekly Brushing,0.6,Seasonal,0.6,Regular Exercise,0.8,Easy Training,0.8,Friendly,2.0,3.0,3,4,4,4.2,iconografia/razas/redbone_coonhound.jpg,"Equilibrado, amable y dispuesto a complacer. Es un rastreador apasionado que en casa es un compañero tranquilo y cariñoso."
Rhodesian Ridgeback,"Affectionate, Dignified, Even-Tempered",41,60.96,68.58,31.751465900000003,38.55535145,10.0,10.0,Hound Group,0.4,Weekly Brushing,0.6,Seasonal,0.6,Regular Exercise,0.4,Independent,0.6,Alert/Responsive,2.0,3.0,3,2,3,3.0,iconografia/razas/rhodesian_ridgeback.jpg,"Cariñoso, digno y equilibrado. Es el perro del cazador de leones: leal, valiente y muy afectuoso con su familia. Necesita ejercicio intenso."
Romanian Mioritic Shepherd Dog,"Loyal, Independent, Confident Guardian",,57.15,73.66,45.359237,58.9670081,12.0,14.0,Foundation Stock Service,0.4,Weekly Brushing,0.4,Occasional,0.6,Regular Exercise,0.4,Independent,0.2,Aloof/Wary,2.0,2.0,3,2,1,2.2,iconografia/razas/romanian_mioritic_shepherd_dog.jpg,"Leal, independiente y guardián seguro. Es un pastor rumano serio y poderoso que con su familia es muy cariñoso."
Rottweiler,"Loyal, Loving, Confident Guardian",8,55.88,68.58,36.2873896,61.23496995,9.0,10.0,Working Group,0.4,Weekly Brushing,0.6,Seasonal,0.6,Regular Exercise,0.6,Agreeable,0.4,Reserved with Strangers,2.0,3.0,3,3,2,3.0,iconografia/razas/rottweiler.jpg,"Leal, cariñoso y guardián seguro. Bien socializado y entrenado, es un compañero equilibrado y muy devoto. Necesita un dueño con experiencia."
Russell Terrier,"Alert, Inquisitive, Lively",82,25.4,30.48,4.082331330000001,6.80388555,12.0,14.0,Terrier Group,0.4,Weekly Brushing,0.4,Occasional,1.0,Needs Lots of Activity,0.6,Agreeable,0.8,Friendly,2.0,2.0,5,3,4,3.4000000000000004,iconografia/razas/russell_terrier.jpg,"Alerta, curioso y lleno de vida. Es el terrier de Jack Russell en formato compacto: activo, inteligente y siempre dispuesto a la aventura."
Russian Toy,"Loyal, Smart, Charming",,20.32,27.94,2.948350405,2.948350405,12.0,14.0,Miscellaneous Class,0.4,Weekly Brushing,0.2,Infrequent,0.6,Regular Exercise,0.6,Agreeable,0.8,Friendly,2.0,1.0,3,3,4,3.8,iconografia/razas/russian_toy.jpg,"Leal, inteligente y encantador. Es uno de los perros más pequeños del mundo. Con su familia es muy cariñoso y necesita compañía constante."
Russian Tsvetnaya Bolonka,"Playful, Charming, Inquisitive",,22.86,25.4,2.0411656650000003,4.9895160700000005,12.0,16.0,Foundation Stock Service,0.6,2-3 Times a Week Brushing,0.2,Infrequent,0.6,Regular Exercise,0.6,Agreeable,0.8,Friendly,3.0,1.0,3,3,4,3.8,iconografia/razas/russian_tsvetnaya_bolonka.jpg,"Juguetón, encantador y curioso. Es un bichón ruso poco conocido pero muy afectuoso. Con su familia es muy cariñoso y adaptable."
Saint Bernard,"Playful, Charming, Inquisitive",48,66.04,76.2,54.4310844,81.6466266,8.0,10.0,Working Group,0.4,Weekly Brushing,0.6,Seasonal,0.6,Regular Exercise,0.6,Agreeable,0.8,Friendly,2.0,3.0,3,3,4,3.8,iconografia/razas/saint_bernard.jpg,"Juguetón, encantador y muy cariñoso. El gigante de los Alpes es dulce, paciente y perfecto con los niños. Con su familia es muy devoto."
Saluki,"Gentle, Dignified, Independent-Minded",120,58.42,71.12,18.1436948,29.48350405,10.0,17.0,Hound Group,0.2,Occasional Bath/Brush,0.4,Occasional,0.8,Energetic,0.4,Independent,0.4,Reserved with Strangers,1.0,2.0,4,2,2,2.4000000000000004,iconografia/razas/saluki.jpg,"Gentil, digno y de mente independiente. Es uno de los perros más antiguos del mundo: elegante, veloz y muy leal a su familia íntima."
Samoyed,"Adaptable, Friendly, Gentle",59,48.26,59.69,15.875732950000002,29.48350405,12.0,14.0,Working Group,0.6,2-3 Times a Week Brushing,0.6,Seasonal,0.8,Energetic,0.4,Independent,0.8,Friendly,3.0,3.0,4,2,4,3.2,iconografia/razas/samoyed.jpg,"Adaptable, amigable y gentil. La sonrisa samoyeda es inconfundible. Es cariñoso, activo y siempre de buen humor. Adora la compañía."
Schapendoes,"Friendly, Watchful, Lively",,40.64,50.8,11.79340162,24.947580350000003,12.0,15.0,Foundation Stock Service,0.4,Weekly Brushing,0.6,Seasonal,0.6,Regular Exercise,0.8,Easy Training,0.6,Alert/Responsive,2.0,3.0,3,4,3,3.8,iconografia/razas/schapendoes.jpg,"Amigable, vigilante y lleno de vida. Es un pastor holandés activo y equilibrado. Con su familia es muy cariñoso y aprende rápido."
Schipperke,"Confident, Alert, Curious",105,25.4,33.02,4.535923700000001,7.25747792,12.0,14.0,Non-Sporting Group,0.4,Weekly Brushing,0.6,Seasonal,0.8,Energetic,0.4,Independent,0.6,Alert/Responsive,2.0,3.0,4,2,3,2.8,iconografia/razas/schipperke.jpg,"Seguro, alerta y curioso. El 'pequeño capitán' belga: activo, inquisitivo y siempre alerta. Con su familia es muy cariñoso."
Scottish Deerhound,"Gentle, Dignified, Polite",158,71.12,81.28,34.01942775,49.895160700000005,8.0,11.0,Hound Group,0.2,Occasional Bath/Brush,0.6,Seasonal,0.6,Regular Exercise,0.4,Independent,0.6,Alert/Responsive,1.0,3.0,3,2,3,3.0,iconografia/razas/scottish_deerhound.jpg,"Gentil, digno y educado. Es el lebrel escocés: elegante, tranquilo en casa y muy cariñoso con su familia."
Scottish Terrier,"Confident, Independent, Spirited",57,25.4,25.4,8.164662660000001,9.97903214,12.0,12.0,Terrier Group,0.6,2-3 Times a Week Brushing,0.4,Occasional,0.6,Regular Exercise,0.4,Independent,0.6,Alert/Responsive,3.0,2.0,3,2,3,3.0,iconografia/razas/scottish_terrier.jpg,"Seguro, independiente y lleno de carácter. El Scottie es un terrier orgulloso y leal. Con su familia es muy cariñoso aunque a su manera."
Sealyham Terrier,"Alert, Outgoing, Sense Of Humor",164,26.67,26.67,10.43262451,10.88621688,12.0,14.0,Terrier Group,0.6,2-3 Times a Week Brushing,0.6,Seasonal,0.6,Regular Exercise,0.4,Independent,0.6,Alert/Responsive,3.0,3.0,3,2,3,3.0,iconografia/razas/sealyham_terrier.jpg,"Alerta, sociable y con mucho sentido del humor. Es un terrier galés poco conocido pero con mucha personalidad. Con su familia es muy cariñoso."
Segugio Italiano,"Friendly, Intelligent, Eager to Please",,48.26,58.42,18.1436948,27.2155422,11.0,13.0,Foundation Stock Service,0.4,Weekly Brushing,0.6,Seasonal,0.6,,1.0,Eager to Please,0.6,,2.0,3.0,3,5,3,4.2,iconografia/razas/segugio_italiano.jpg,"Amigable, inteligente y dispuesto a complacer. Es un sabueso italiano activo y equilibrado. Con su familia es muy cariñoso."
Shetland Sheepdog,"Playful, Energetic, Bright",25,33.02,40.64,6.80388555,11.33980925,12.0,14.0,Herding Group,0.6,2-3 Times a Week Brushing,0.6,Seasonal,0.6,Regular Exercise,1.0,Eager to Please,0.4,Reserved with Strangers,3.0,3.0,3,5,2,3.8,iconografia/razas/shetland_sheepdog.jpg,"Juguetón, enérgico y brillante. El 'Lassie en miniatura' es uno de los perros más inteligentes. Con su familia es muy cariñoso y devoto."
Shiba Inu,"Alert, Active, Attentive",44,34.29,41.91,7.71107029,10.43262451,13.0,16.0,Non-Sporting Group,0.4,Weekly Brushing,0.6,Seasonal,0.6,Regular Exercise,0.4,Independent,0.4,Reserved with Strangers,2.0,3.0,3,2,2,2.6,iconografia/razas/shiba_inu.jpg,"Alerta, activo y atento. El perro nacional japonés más popular: independiente, limpio y muy leal a su familia íntima."
Shih Tzu,"Affectionate, Playful, Outgoing",20,22.86,26.67,4.082331330000001,7.25747792,10.0,18.0,Toy Group,0.8,Daily Brushing,0.2,Infrequent,0.6,Regular Exercise,0.6,Agreeable,0.8,Friendly,4.0,1.0,3,3,4,3.8,iconografia/razas/shih_tzu.jpg,"Cariñoso, juguetón y sociable. El 'perro león' chino es un compañero alegre y adaptable. Adora la compañía y siempre está de buen humor."
Shikoku,"Energetic, Alert, Enthusiastic",,43.18,55.88,15.875732950000002,24.947580350000003,10.0,12.0,Foundation Stock Service,0.4,Weekly Brushing,,,0.6,Regular Exercise,0.6,,0.6,,2.0,,3,3,3,3.4000000000000004,iconografia/razas/shikoku.jpg,"Enérgico, alerta y entusiasta. Es un spitz japonés activo y leal. Con su familia es muy cariñoso aunque necesita mucho ejercicio."
Siberian Husky,"Loyal, Mischievous, Outgoing",14,50.8,59.69,15.875732950000002,27.2155422,12.0,14.0,Working Group,0.4,Weekly Brushing,0.6,Seasonal,0.8,Energetic,0.4,Independent,0.8,Friendly,2.0,3.0,4,2,4,3.2,iconografia/razas/siberian_husky.jpg,"Leal, travieso y sociable. Es el husky de ojos azules: activo, divertido y siempre dispuesto a la aventura. Con su familia es muy cariñoso."
Silky Terrier,"Friendly, Quick, Keenly Alert",112,22.86,25.4,4.535923700000001,4.535923700000001,13.0,15.0,Toy Group,0.6,2-3 Times a Week Brushing,0.4,Occasional,0.6,Regular Exercise,0.6,Agreeable,0.6,Alert/Responsive,3.0,2.0,3,3,3,3.4000000000000004,iconografia/razas/silky_terrier.jpg,"Amigable, rápido y muy alerta. Es el terrier australiano de pelo sedoso: activo, curioso y muy cariñoso con su familia."
Skye Terrier,"Courageous, Good-Tempered, Canny",178,24.13,25.4,15.875732950000002,20.41165665,12.0,14.0,Terrier Group,0.8,Daily Brushing,0.6,Seasonal,0.6,Regular Exercise,0.4,Independent,0.4,Reserved with Strangers,4.0,3.0,3,2,2,2.6,iconografia/razas/skye_terrier.jpg,"Valiente, de buen carácter y listo. Es un terrier escocés leal y afectuoso. Con su familia íntima es muy devoto aunque reservado con extraños."
Sloughi,"Reserved, Graceful, Noble",192,60.96,73.66,15.875732950000002,22.6796185,10.0,15.0,Hound Group,0.4,Weekly Brushing,0.2,Infrequent,0.6,Regular Exercise,0.4,Independent,0.4,Reserved with Strangers,2.0,1.0,3,2,2,2.6,iconografia/razas/sloughi.jpg,"Reservado, elegante y noble. Es el lebrel del norte de África: independiente, veloz y muy leal a su familia íntima."
Slovakian Wirehaired Pointer,,,57.15,67.31,22.6796185,29.48350405,12.0,15.0,Foundation Stock Service,0.2,Occasional Bath/Brush,0.4,Occasional,0.8,Energetic,0.4,Independent,1.0,Outgoing,1.0,2.0,4,2,5,3.6,iconografia/razas/slovakian_wirehaired_pointer.jpg,Es un perro de caza versátil y equilibrado. Con su familia es cariñoso y leal. Necesita ejercicio y espacio para estar feliz.
Slovensky Cuvac,"Courageous, Alert, Faithful",,58.42,69.85,30.84428116,43.99845989,11.0,13.0,Foundation Stock Service,0.4,Weekly Brushing,0.8,Regularly,0.4,Calm,0.6,,0.6,,2.0,4.0,2,3,3,3.2,iconografia/razas/slovensky_cuvac.jpg,"Valiente, alerta y fiel. Es un guardián eslovaco poderoso y leal. Con su familia es muy cariñoso y protector."
Slovensky Kopov,"Courageous, Alert, Determined",,40.64,50.8,14.968548210000002,19.95806428,12.0,13.0,Foundation Stock Service,0.2,Occasional Bath/Brush,0.6,Seasonal,0.6,Regular Exercise,0.6,,0.6,,1.0,3.0,3,3,3,3.4000000000000004,iconografia/razas/slovensky_kopov.jpg,"Valiente, alerta y determinado. Es un rastreador eslovaco serio y trabajador. Con su familia es leal y cariñoso."
Small Munsterlander Pointer,"Intelligent, Devoted, Self-Confident",,52.07,53.34,18.1436948,27.2155422,12.0,14.0,Foundation Stock Service,0.2,Occasional Bath/Brush,0.6,Seasonal,1.0,Needs Lots of Activity,0.6,Agreeable,0.8,Friendly,1.0,3.0,5,3,4,3.4000000000000004,iconografia/razas/small_munsterlander_pointer.jpg,"Inteligente, devoto y seguro de sí mismo. Es un perro de caza alemán equilibrado y afectuoso. Con su familia es muy cariñoso."
Smooth Fox Terrier,"Friendly, Independent, Amusing",123,38.1,38.1,6.80388555,8.164662660000001,12.0,15.0,Terrier Group,0.4,Weekly Brushing,0.4,Occasional,0.8,Energetic,0.6,Agreeable,0.8,Friendly,2.0,2.0,4,3,4,3.6000000000000005,iconografia/razas/smooth_fox_terrier.jpg,"Amigable, independiente y divertido. Es el fox terrier de pelo liso: activo, curioso y siempre dispuesto a la aventura."
Soft Coated Wheaten Terrier,"Friendly, Happy, Deeply Devoted",53,43.18,48.26,13.6077711,18.1436948,12.0,14.0,Terrier Group,0.6,2-3 Times a Week Brushing,0.2,Infrequent,0.8,Energetic,0.4,Independent,0.6,Alert/Responsive,3.0,1.0,4,2,3,2.8,iconografia/razas/soft_coated_wheaten_terrier.jpg,"Amigable, feliz y muy devoto. Es el terrier irlandés de pelo suave: activo, cariñoso y siempre de buen humor."
Spanish Mastiff,"Affectionate, Intelligent, Kind",,71.12,88.9,63.502931800000006,90.718474,10.0,12.0,Foundation Stock Service,,,0.6,Seasonal,0.4,Calm,0.6,,0.6,,,3.0,2,3,3,3.2,iconografia/razas/spanish_mastiff.jpg,"Cariñoso, inteligente y amable. Es un guardián español poderoso y tranquilo. Con su familia es muy devoto y necesita espacio."
Spanish Water Dog,Playful but also Work-Oriented. Very Active and Upbeat.,153,40.005,50.165,14.06136347,22.22602613,12.0,14.0,Herding Group,1.0,Specialty/Professional,0.2,Infrequent,0.8,Energetic,1.0,Eager to Please,0.4,Reserved with Strangers,5.0,1.0,4,5,2,3.6,iconografia/razas/spanish_water_dog.jpg,Juguetón y muy activo. Es un perro de trabajo versátil que necesita mucho ejercicio. Con su familia es muy cariñoso.
Spinone Italiano,"Sociable, Patient, Docile",109,55.88,68.58,,,10.0,12.0,Sporting Group,0.4,Weekly Brushing,,,0.8,Energetic,0.6,Agreeable,0.6,Alert/Responsive,2.0,,4,3,3,3.2,iconografia/razas/spinone_italiano.jpg,"Sociable, paciente y dócil. Es un perro de caza italiano gentil y equilibrado. Con su familia es muy cariñoso y adaptable."
Stabyhoun,"Intelligent, Responsive, Loving",,48.26,53.34,18.1436948,27.2155422,13.0,15.0,Foundation Stock Service,0.2,Occasional Bath/Brush,0.6,Seasonal,0.8,Energetic,0.8,Easy Training,0.6,Alert/Responsive,1.0,3.0,4,4,3,3.6000000000000005,iconografia/razas/stabyhound.jpg,"Inteligente, receptivo y cariñoso. Es un spaniel holandés poco conocido pero muy equilibrado. Con su familia es muy afectuoso."
Staffordshire Bull Terrier,"Clever, Brave, Tenacious",80,35.56,40.64,10.88621688,17.23651006,12.0,14.0,Terrier Group,0.4,Weekly Brushing,0.4,Occasional,0.8,Energetic,0.2,May be Stubborn,0.8,Friendly,2.0,2.0,4,1,4,2.8,iconografia/razas/staffordshire_bull_terrier.jpg,"Inteligente, valiente y tenaz. El Staffie es un perro muy cariñoso con su familia y especialmente con los niños."
Standard Schnauzer,"Fearless, Smart, Spirited",89,44.45,49.53,13.6077711,22.6796185,13.0,16.0,Working Group,0.6,2-3 Times a Week Brushing,0.2,Infrequent,0.6,Regular Exercise,0.4,Independent,0.8,Friendly,3.0,1.0,3,2,4,3.4000000000000004,iconografia/razas/standard_schnauzer.png,"Valiente, inteligente y lleno de energía. Es el schnauzer original: activo, leal y siempre alerta. Con su familia es muy cariñoso."
Sussex Spaniel,"Friendly, Merry, Even-Tempered",180,33.02,38.1,15.875732950000002,20.41165665,13.0,15.0,Sporting Group,0.6,2-3 Times a Week Brushing,0.6,Seasonal,0.6,Regular Exercise,0.4,Independent,0.4,Reserved with Strangers,3.0,3.0,3,2,2,2.6,iconografia/razas/sussex_spaniel.jpg,"Amigable, alegre y equilibrado. Es un spaniel inglés tranquilo y afectuoso. Con su familia es muy cariñoso y adaptable."
Swedish Lapphund,"Playful, Intelligent, Lively",,40.64,50.8,13.6077711,20.41165665,12.0,14.0,Foundation Stock Service,0.4,Weekly Brushing,0.6,Seasonal,0.6,Regular Exercise,0.2,May be Stubborn,0.6,Alert/Responsive,2.0,3.0,3,1,3,2.6,iconografia/razas/swedish_lapphund.jpg,"Juguetón, inteligente y lleno de vida. Es un spitz sueco activo y equilibrado. Con su familia es muy cariñoso."
